number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,751.6493628571096,0.8146128819784664,True,False,False,False,True,True,False,True,False,True,large,0.09137691235626337,6,80,0.4285782039766624,668,13,none,0.0004161484616993099,5.007294955938419e-07,max,0.7112921442854705,6,True,False,COMPLETE
1,789.6424238697605,0.792297014464131,True,True,True,False,True,False,True,False,True,True,large,0.08703975095794951,10,25,0.2786662945770031,920,50,none,3.648406637977568e-08,1.914145142529848e-06,distance_capacity,0.8054379699945189,6,True,False,COMPLETE
2,808.5603700716141,0.6240109537138767,False,False,True,False,False,True,True,False,True,False,large,0.10019229172663936,4,27,0.23060702515579212,661,38,small,1.1632401445913605e-08,3.8074894072237446e-07,None,0.9413876104596257,0,True,False,COMPLETE
3,809.3997487694974,0.5881602754474404,True,False,False,False,False,False,True,True,True,True,none,0.010126212805836834,13,41,0.499179945785667,979,122,large,1.961877564132768e-06,0.1532902139919618,idw,0.5446586114679342,2,True,False,COMPLETE
4,846.9048211558614,0.7448738513580893,False,False,True,False,False,False,True,True,False,False,none,0.01712926918366405,7,40,0.13707732553100188,611,147,large,0.02867487813442687,1.335528385952245e-05,max,0.6330360952336631,0,True,False,COMPLETE
5,770.6075724052547,0.5171922376312253,True,False,False,False,False,True,False,False,True,False,large,0.05745683780144572,16,86,0.17488220032629376,339,145,large,1.2439608305053953e-05,2.576672058435973e-06,capacity,0.9589761326042656,2,False,True,COMPLETE
6,847.1221172021645,0.7102228454927066,False,False,True,False,True,False,True,False,False,False,small,0.016781952193448836,15,91,0.3583212206973728,686,111,large,0.007788588137059425,5.197111146184032e-05,idw,0.6695444697536421,0,False,False,COMPLETE
7,781.8589326100235,0.6572489221649513,False,False,False,True,True,True,True,False,False,False,none,0.011173918983920814,7,21,0.2771050081458612,815,53,large,8.149438830603469e-07,6.545712176480006e-05,max,0.6197205027697934,0,True,False,COMPLETE
8,799.1251690347004,0.9293143718488796,True,True,True,False,False,False,False,True,False,False,large,0.09048099682358107,10,90,0.4075617699021587,502,75,small,0.0003244580916276026,0.0011268338669337805,distance_capacity,0.901136504798598,6,False,False,COMPLETE
9,925.4335811234683,0.8626303668878437,True,True,True,True,False,True,False,True,True,True,none,0.23581791808648359,3,25,0.004313265783193909,731,108,small,1.501455596316038e-08,1.612673641870987e-06,distance_capacity,0.7715263835985371,2,True,False,COMPLETE
10,761.136313134135,0.9934821952897034,True,True,False,True,True,True,False,True,False,True,small,0.19031619145899284,6,65,0.4836558844586244,451,16,none,0.00047275669457930776,1.4655389806592624e-08,distance_n_turbines,0.8567298315907877,6,False,True,COMPLETE
11,735.4955891776017,0.9809445138595511,True,True,False,True,True,True,False,True,False,True,small,0.2568705963434619,6,72,0.47016829099530266,449,14,none,0.9121039309253081,1.5701037244000266e-08,distance_n_turbines,0.8365310766424072,6,False,True,COMPLETE
12,700.6687101075319,0.8487727017002656,True,True,False,True,True,True,False,True,False,True,small,0.29722962363713296,5,65,0.3964656280727688,548,13,none,0.260672223294002,3.998495250235987e-08,mean,0.7111298177043237,6,False,True,COMPLETE
13,743.8444887881668,0.896143686052599,True,True,False,True,True,True,False,True,False,True,small,0.2786169642361196,8,63,0.36524587184869434,507,26,none,0.3482505727304643,1.0353544948917822e-08,mean,0.83820229682637,6,False,True,COMPLETE
14,762.5996714680605,0.988850036121925,True,True,False,True,True,True,False,True,False,True,small,0.16131360679531315,4,70,0.34476799096119626,316,75,none,0.9362537610213211,6.691938157179087e-08,distance_n_turbines,0.7374994104138937,6,False,True,COMPLETE
15,715.9251629863334,0.9231600699128393,True,True,False,True,True,True,False,True,False,True,small,0.15512217537215817,5,5,0.4398578382572226,441,36,none,0.033197924460027194,0.0018697452419893983,mean,0.504508527241715,6,False,True,COMPLETE
16,712.1006202322546,0.8592353238120185,True,True,False,True,True,True,False,True,False,True,small,0.14481952430273226,12,12,0.41430200619211033,383,55,none,0.024606484445592103,0.0022777069571426564,mean,0.502392327991918,6,False,True,COMPLETE
17,716.601938728653,0.8186776093297357,True,True,False,True,True,True,False,True,False,True,small,0.036592867286995144,12,52,0.3183306993781185,581,58,none,0.005826029299434122,0.05248799183564697,mean,0.584405845423401,6,False,True,COMPLETE
18,730.005124158647,0.8629530876775567,False,True,False,True,True,True,False,True,False,True,small,0.13330569376438672,12,6,0.41022758849115215,386,92,none,0.10841466993504294,0.0040003889035038105,mean,0.9999636243854223,6,False,True,COMPLETE
19,736.830427705706,0.7410245845439217,True,True,False,True,True,True,False,True,False,True,small,0.050381723212649665,14,52,0.19805505222028918,550,66,none,0.002196511163419199,0.00028173638696159714,mean,0.7043012318055691,2,False,True,COMPLETE
20,710.2133736474761,0.792891784850051,True,True,False,True,True,True,False,True,False,True,small,0.2925784593540653,9,43,0.11683750946820826,783,39,small,5.2669021319838446e-05,0.9469619326540861,None,0.513291073688139,6,False,True,COMPLETE
