number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1678.7748202338632,0.7150052671355542,False,True,True,True,False,True,True,False,True,False,large,6.0,0.05320126081093457,10,8,0.1411308537012828,728,37,large,5.141953455615119e-07,3.828848007846189e-06,distance_capacity,0.9348748950612601,0,True,COMPLETE
1,1662.372041250006,0.6911497197501759,False,False,True,True,False,True,False,False,False,True,small,12.0,0.13742156197789232,7,8,0.3295709620966056,598,135,none,4.947128235908404e-08,2.369907885949061e-06,mean,0.5350757248623166,0,False,COMPLETE
2,1193.4069916638193,0.6642686090161045,True,False,True,False,True,True,False,True,False,False,large,,0.057187778998527165,11,94,0.48153722094520435,477,105,none,1.3122503533720807e-05,0.05116373284818154,mean,0.689143564325533,6,False,COMPLETE
3,1600.481075839305,0.8161076236800273,False,True,True,True,True,True,False,False,True,False,small,1.0,0.04215275489303528,9,64,0.36485909262691824,627,68,small,0.8380358340879512,6.482519844795005e-07,idw,0.8318838216279252,2,True,COMPLETE
4,1230.5148515452654,0.5258511441852309,False,False,False,True,False,True,False,True,True,False,small,,0.17432620942994148,15,75,0.1765872979933732,664,142,small,3.0029169217520577e-05,0.001792406586718568,mean,0.708929097026999,0,False,COMPLETE
5,1114.820507162926,0.6187761139768468,True,False,True,True,True,False,False,False,False,True,large,,0.02122321377605115,15,13,0.4372897479453276,921,57,small,0.00024552854164551095,0.0017626206486752662,mean,0.9367492746690951,0,True,COMPLETE
6,2042.439945022601,0.963819812677569,False,False,True,False,False,False,True,False,True,True,none,6.0,0.011118406368720664,10,83,0.3227556228290283,916,69,small,1.9165844557804263e-07,0.0006822921474232384,capacity,0.6456735683964825,0,True,COMPLETE
7,1273.873797304754,0.6335997534945521,False,False,True,True,True,False,True,False,True,True,large,,0.022425515522794856,16,87,0.04023426983591022,778,54,none,2.105645689072245e-06,1.1212591790166495e-06,capacity,0.6155546834157314,2,False,COMPLETE
8,1308.7509768133948,0.869276758542012,False,False,True,True,True,True,False,False,False,True,none,1.0,0.023153162607896394,8,57,0.05155971526336284,907,137,none,4.8050927140789e-07,0.03722522363641584,None,0.6910152166903927,2,False,COMPLETE
9,1193.9013526805566,0.6967289706840334,False,False,False,True,False,False,False,False,True,True,small,,0.10476487219285797,15,92,0.3805998633175367,973,15,none,1.9173748233820873e-07,2.6708960837013474e-05,distance_capacity,0.5107946864102353,0,False,COMPLETE
10,2002.9202085485238,0.5366782073828499,True,True,False,False,True,False,True,True,False,True,large,12.0,0.010564776388082618,3,32,0.4689373257566813,304,101,large,0.002686820704918554,0.8224417761870628,max,0.966793571156419,6,True,COMPLETE
11,1168.5841250095373,0.6126582925925367,True,False,True,False,True,False,False,True,False,False,large,,0.027457621068202293,13,37,0.4743590518983004,453,101,small,0.0011555246400562114,0.03142104752919539,mean,0.8614062479639459,6,True,COMPLETE
12,1222.01191352243,0.5975362998573551,True,False,True,False,True,False,False,True,False,False,large,,0.022075141735563845,13,30,0.42704111792027644,441,98,small,0.0012430106186316191,0.005786183136388684,distance_n_turbines,0.8354906474047498,6,True,COMPLETE
13,1151.4493635822644,0.5998044006305497,True,False,True,False,True,False,False,True,False,False,large,,0.03191169322040702,13,32,0.27526613278114687,480,42,small,0.001110963212979525,6.726145546843012e-05,mean,0.8667428709179745,6,True,COMPLETE
14,1137.6454522508413,0.7801332942316853,True,True,False,False,True,False,False,True,False,False,large,,0.08104434740703198,13,19,0.2219032138834561,810,33,small,0.16817452114726117,0.00010588291898640068,mean,0.9076674095921738,6,True,COMPLETE
15,969.8174120357531,0.7791376949993889,True,True,False,False,True,False,False,True,False,True,large,,0.07927774105777356,12,19,0.20280030313940156,797,12,small,0.565760786847191,0.00023963030072941398,None,0.9990980936779666,0,True,COMPLETE
16,1862.9835028658606,0.8803410019063562,True,True,False,False,True,False,False,False,False,True,none,6.0,0.25275351788533573,5,48,0.12644227209067221,853,13,small,0.02866777668405343,2.988102257540069e-08,None,0.9883302635188221,0,True,COMPLETE
17,1204.5704411553659,0.7592478088932892,True,True,False,True,True,False,False,True,False,True,large,1.0,0.01426215522992451,12,20,0.2547005602441402,985,22,large,0.029465904930236674,0.0003500166954940248,None,0.7746151939797608,0,True,COMPLETE
18,1752.0313753323996,0.837296007471442,True,True,False,True,True,False,True,True,False,True,large,12.0,0.05786537740141946,16,18,0.19963106201133002,754,54,small,0.00013656052614897796,0.5274385034461498,max,0.990098117705665,0,True,COMPLETE
19,1193.0041834431602,0.9043423844090299,True,True,False,False,True,False,False,False,False,True,none,,0.01584001787907316,14,44,0.09686244404545526,861,82,small,1.1372505802200949e-08,0.00521576604403122,distance_n_turbines,0.9408857214841833,0,True,COMPLETE
20,1155.5561845640013,0.556322031280996,True,True,False,True,True,False,False,False,False,True,large,,0.08546170693478919,11,5,0.2951961305157173,919,53,large,0.01984317767890787,1.4899087399263458e-07,idw,0.7764096128310497,0,True,COMPLETE
21,933.2048078838056,0.7727123811466873,True,True,False,False,True,False,False,True,False,False,large,,0.08224089321125223,14,20,0.21250445528232514,807,28,small,0.6736089263298756,4.922041828655626e-05,None,0.9156700818483342,6,True,COMPLETE
22,930.3298281617868,0.7870979413115576,True,True,False,False,True,False,False,True,False,True,large,,0.04044825963212399,15,23,0.16852227000610825,699,28,small,0.7923680007096253,2.6322446002291854e-05,None,0.9054870869515853,6,True,COMPLETE
23,939.7518663451198,0.7865522019870262,True,True,False,False,True,False,False,True,False,False,large,,0.0398381810289233,14,26,0.16603636223931612,707,26,small,0.6914974913137879,2.6704341765595842e-05,None,0.8936556047058144,6,True,COMPLETE
24,932.2446768139329,0.817517197091937,True,True,False,False,True,False,False,True,False,False,large,,0.03843049042608981,14,26,0.16043238243826424,694,26,small,0.10599071607551853,1.3204093199175996e-05,None,0.8843866980012675,6,True,COMPLETE
25,931.1972645688596,0.9354857812855373,True,True,False,False,True,False,False,True,False,False,large,,0.04290681161661479,16,39,0.09055135904351513,564,43,small,0.0824924352073124,1.8962996388043872e-05,None,0.8005094581614087,6,True,COMPLETE
26,1518.478199644848,0.9409758525880273,True,True,False,False,False,False,True,True,False,False,large,1.0,0.037123575226175605,16,41,0.0798261820850136,561,42,small,0.1134236829263239,6.5396736863396465e-06,None,0.8036950974446849,6,True,COMPLETE
