date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-08-02 00:00:00+00:00,223.17032,781.4337,-88.23007,1651.0978
2026-08-02 01:00:00+00:00,269.6403,366.61612,-503.04794,1236.2799
2026-08-02 02:00:00+00:00,292.32974,581.40076,-288.26328,1451.0648
2026-08-02 03:00:00+00:00,244.27994,385.35538,-484.3082,1255.0194
2026-08-02 04:00:00+00:00,240.41006,408.36392,-461.2999,1278.028
2026-08-02 05:00:00+00:00,240.49991,331.9755,-537.6881,1201.6395
2026-08-02 06:00:00+00:00,185.74991,66.76749,-802.8966,936.4313
2026-08-02 07:00:00+00:00,141.84,47.881744,-821.78235,917.54553
2026-08-02 08:00:00+00:00,201.43008,110.77359,-758.89026,980.4374
2026-08-02 09:00:00+00:00,327.48013,-74.48398,-944.1481,795.1798
2026-08-02 10:00:00+00:00,351.58975,-16.466158,-886.13,853.19763
2026-08-02 11:00:00+00:00,295.6,225.94766,-643.71594,1095.6117
2026-08-02 12:00:00+00:00,292.92007,92.43643,-777.22766,962.1002
2026-08-02 13:00:00+00:00,273.68985,81.88492,-787.77893,951.5487
2026-08-02 14:00:00+00:00,333.9601,223.78775,-645.8761,1093.4515
2026-08-02 15:00:00+00:00,632.6,248.7753,-620.8888,1118.4391
2026-08-02 16:00:00+00:00,1033.4799,357.59024,-512.07385,1227.2543
2026-08-02 17:00:00+00:00,1451.1898,462.10318,-407.56064,1331.767
2026-08-02 18:00:00+00:00,2022.4001,1031.0135,161.34976,1900.6775
2026-08-02 19:00:00+00:00,3612.76,2958.9917,2089.328,3828.6558
2026-08-02 20:00:00+00:00,5211.43,4845.919,3976.255,5715.583
2026-08-02 21:00:00+00:00,5738.29,4790.359,3920.6948,5660.023
2026-08-02 22:00:00+00:00,5550.17,3210.1565,2340.4924,4079.8203
2026-08-02 23:00:00+00:00,5385.07,3099.1492,2229.485,3968.813
2026-08-03 00:00:00+00:00,5398.93,3801.183,2931.519,4670.847
2026-08-03 01:00:00+00:00,5533.59,4118.0303,3248.366,4987.6943
2026-08-03 02:00:00+00:00,5456.59,4097.65,3227.986,4967.314
2026-08-03 03:00:00+00:00,5087.14,4278.311,3408.647,5147.975
2026-08-03 04:00:00+00:00,4626.46,3850.6333,2980.9695,4720.2974
2026-08-03 05:00:00+00:00,3066.04,3054.138,2184.474,3923.802
2026-08-03 06:00:00+00:00,1221.8099,2011.7039,1142.0397,2881.368
2026-08-03 07:00:00+00:00,809.98987,548.23474,-321.4293,1417.8986
2026-08-03 08:00:00+00:00,1012.7001,790.80554,-78.85849,1660.4696
2026-08-03 09:00:00+00:00,947.7899,1546.8553,677.1915,2416.5195
2026-08-03 10:00:00+00:00,712.23987,1344.4406,474.77628,2214.1045
2026-08-03 11:00:00+00:00,524.5299,1313.3668,443.70255,2183.0308
2026-08-03 12:00:00+00:00,426.00992,1146.1967,276.53287,2015.8606
2026-08-03 13:00:00+00:00,455.8903,420.7592,-448.90488,1290.423
2026-08-03 14:00:00+00:00,550.61,197.90054,-671.7633,1067.5643
2026-08-03 15:00:00+00:00,713.23987,695.6349,-174.02939,1565.299
2026-08-03 16:00:00+00:00,984.58997,981.96936,112.30533,1851.6335
2026-08-03 17:00:00+00:00,1496.2098,946.037,76.3732,1815.7009
2026-08-03 18:00:00+00:00,2179.0002,2273.559,1403.8949,3143.223
2026-08-03 19:00:00+00:00,3784.58,3580.813,2711.149,4450.477
2026-08-03 20:00:00+00:00,4878.02,4028.1528,3158.4888,4897.817
2026-08-03 21:00:00+00:00,5096.67,4871.4053,4001.741,5741.0693
2026-08-03 22:00:00+00:00,4955.93,4675.5728,3805.9087,5545.237
2026-08-03 23:00:00+00:00,4848.42,3487.9163,2618.2522,4357.58
2026-08-04 00:00:00+00:00,4856.78,4539.8823,3670.2183,5409.5464
2026-08-04 01:00:00+00:00,4523.8,4200.9585,3331.2944,5070.6226
2026-08-04 02:00:00+00:00,4332.31,2894.0674,2024.4032,3763.7312
2026-08-04 03:00:00+00:00,4518.4,3770.9429,2901.2788,4640.607
2026-08-04 04:00:00+00:00,4082.72,3881.3235,3011.6594,4750.9873
2026-08-04 05:00:00+00:00,3628.27,2794.8672,1925.2032,3664.5312
2026-08-04 06:00:00+00:00,2220.43,1444.4354,574.7716,2314.0994
2026-08-04 07:00:00+00:00,1736.87,933.651,63.98697,1803.3151
2026-08-04 08:00:00+00:00,1948.65,1152.5404,282.87637,2022.2045
