date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-02-21 00:00:00+00:00,9665.03,8991.035237965803,7973.818825305379,10008.25165062623
2026-02-21 01:00:00+00:00,10187.08,9883.108430559805,8865.89201789938,10900.32484322023
2026-02-21 02:00:00+00:00,10620.73,10255.896637182192,9238.680224521766,11273.113049842617
2026-02-21 03:00:00+00:00,11102.64,11165.088675820105,10147.87226315968,12182.30508848053
2026-02-21 04:00:00+00:00,11564.69,11479.175453265496,10461.95904060507,12496.391865925922
2026-02-21 05:00:00+00:00,12289.35,12328.266510967449,11311.050098307023,13345.482923627878
2026-02-21 06:00:00+00:00,12706.95,12749.837667941247,11732.621255280821,13767.054080601672
2026-02-21 07:00:00+00:00,13013.29,12396.784320703959,11379.567908043533,13414.000733364384
2026-02-21 08:00:00+00:00,12499.96,12216.691548513561,11199.475135853134,13233.907961173987
2026-02-21 09:00:00+00:00,12079.7,12064.934306757852,11047.717894097425,13082.150719418278
2026-02-21 10:00:00+00:00,11518.6,12093.185546816745,11075.96913415632,13110.401959477174
2026-02-21 11:00:00+00:00,11185.4795,11387.725905471987,10370.509492811561,12404.942318132413
2026-02-21 12:00:00+00:00,10835.05,10822.299606244807,9805.083193584382,11839.516018905233
2026-02-21 13:00:00+00:00,10310.49,10629.046024608746,9611.829611948322,11646.262437269173
2026-02-21 14:00:00+00:00,9940.53,10095.929742039996,9078.71332937957,11113.146154700424
2026-02-21 15:00:00+00:00,9849.68,9963.920923291349,8946.704510630923,10981.137335951775
2026-02-21 16:00:00+00:00,10010.14,10255.486163240499,9238.269750580073,11272.702575900925
2026-02-21 17:00:00+00:00,10424.44,10874.71708566635,9857.500673005925,11891.933498326776
2026-02-21 18:00:00+00:00,10380.22,11210.996049754944,10193.779637094518,12228.21246241537
2026-02-21 19:00:00+00:00,10306.75,10551.269904032826,9534.0534913724,11568.486316693252
2026-02-21 20:00:00+00:00,9671.17,10050.271145403729,9033.054732743303,11067.487558064153
2026-02-21 21:00:00+00:00,8919.16,9316.021995651889,8298.805582991463,10333.238408312314
2026-02-21 22:00:00+00:00,8556.19,8688.754016896404,7671.5376042359785,9705.97042955683
2026-02-21 23:00:00+00:00,8115.84,7638.8956085759055,6621.67919591548,8656.112021236331
2026-02-22 00:00:00+00:00,7239.9,6840.395088122183,5823.178675461757,7857.611500782608
2026-02-22 01:00:00+00:00,6226.53,6583.930293606373,5566.7138809459475,7601.146706266798
2026-02-22 02:00:00+00:00,5740.16,6362.851240827102,5345.634828166676,7380.067653487527
2026-02-22 03:00:00+00:00,5868.16,5909.383377529088,4892.166964868662,6926.599790189513
2026-02-22 04:00:00+00:00,5746.97,5503.1619495694,4485.945536908975,6520.378362229825
2026-02-22 05:00:00+00:00,6146.88,5966.906103485118,4949.689690824693,6984.122516145544
2026-02-22 06:00:00+00:00,7119.09,6281.304888416233,5264.088475755807,7298.521301076658
2026-02-22 07:00:00+00:00,8231.66,7041.048734626761,6023.832321966336,8058.265147287187
2026-02-22 08:00:00+00:00,8957.59,10099.343515169883,9082.127102509457,11116.559927830309
2026-02-22 09:00:00+00:00,9574.62,10116.407358046667,9099.19094538624,11133.62377070709
2026-02-22 10:00:00+00:00,10222.52,9567.79692003723,8550.580507376804,10585.013332697656
2026-02-22 11:00:00+00:00,10396.41,10512.349531853439,9495.133119193013,11529.565944513864
2026-02-22 12:00:00+00:00,10121.63,10436.818395168331,9419.601982507906,11454.034807828757
2026-02-22 13:00:00+00:00,9982.71,9975.849870408027,8958.633457747601,10993.066283068452
2026-02-22 14:00:00+00:00,10476.199,11186.538416561398,10169.322003900972,12203.754829221823
2026-02-22 15:00:00+00:00,11253.45,11188.68693256719,10171.470519906765,12205.903345227616
2026-02-22 16:00:00+00:00,11652.52,11297.914814458854,10280.698401798429,12315.13122711928
2026-02-22 17:00:00+00:00,12357.55,12885.26319318655,11868.046780526125,13902.47960584698
2026-02-22 18:00:00+00:00,12997.9,12915.625481803047,11898.40906914262,13932.841894463472
2026-02-22 19:00:00+00:00,13138.6,12889.759844420863,11872.543431760438,13906.976257081289
2026-02-22 20:00:00+00:00,13143.99,12296.010920978504,11278.794508318078,13313.227333638933
2026-02-22 21:00:00+00:00,12126.43,12516.958406819791,11499.741994159365,13534.174819480217
2026-02-22 22:00:00+00:00,11038.56,11693.273059550993,10676.056646890567,12710.489472211419
2026-02-22 23:00:00+00:00,9502.9,9578.431960290127,8561.215547629701,10595.648372950553
2026-02-23 00:00:00+00:00,8129.86,7915.8581098744235,6898.641697213998,8933.074522534847
2026-02-23 01:00:00+00:00,7620.89,6873.864824919557,5856.648412259131,7891.0812375799815
2026-02-23 02:00:00+00:00,7580.13,7694.918832468968,6677.702419808543,8712.135245129393
2026-02-23 03:00:00+00:00,8545.5,8321.990376717422,7304.773964056996,9339.206789377848
2026-02-23 04:00:00+00:00,9101.79,9303.11350426064,8285.897091600214,10320.329916921066
2026-02-23 05:00:00+00:00,9551.67,9570.651984022967,8553.435571362541,10587.868396683392
2026-02-23 06:00:00+00:00,10006.6,8774.001602799683,7756.785190139257,9791.218015460108
2026-02-23 07:00:00+00:00,9766.83,8989.627682653147,7972.411269992723,10006.844095313572
2026-02-23 08:00:00+00:00,9633.27,9279.407635801424,8262.191223140999,10296.62404846185
2026-02-23 09:00:00+00:00,10492.779,11001.38760415036,9984.171191489935,12018.604016810787
2026-02-23 10:00:00+00:00,11323.67,12209.735067918951,11192.518655258526,13226.951480579377
2026-02-23 11:00:00+00:00,11750.91,12342.859100864946,11325.64268820452,13360.075513525375
2026-02-23 12:00:00+00:00,11777.6,12599.776269142087,11582.559856481661,13616.992681802512
2026-02-23 13:00:00+00:00,11032.7,11616.427540910603,10599.211128250176,12633.64395357103
2026-02-23 14:00:00+00:00,10792.509,11127.273300495854,10110.056887835428,12144.48971315628
2026-02-23 15:00:00+00:00,10464.45,10958.468981742792,9941.252569082366,11975.685394403217
2026-02-23 16:00:00+00:00,10386.78,10405.168430565369,9387.952017904943,11422.384843225795
2026-02-23 17:00:00+00:00,10132.26,10243.241040711142,9226.024628050716,11260.457453371568
2026-02-23 18:00:00+00:00,10162.31,9509.320541387206,8492.10412872678,10526.536954047631
2026-02-23 19:00:00+00:00,9900.32,9701.187881144804,8683.971468484378,10718.40429380523
2026-02-23 20:00:00+00:00,9461.23,9922.20056603471,8904.984153374284,10939.416978695135
2026-02-23 21:00:00+00:00,8631.33,8762.061551908144,7744.845139247718,9779.27796456857
2026-02-23 22:00:00+00:00,8342.35,8493.676098441214,7476.45968578079,9510.89251110164
