date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-03-23 00:00:00+00:00,770.46985,1367.1002,1033.5695,1700.6312
2026-03-23 01:00:00+00:00,423.42032,647.1207,313.59,980.6515
2026-03-23 02:00:00+00:00,220.62003,603.0375,269.5065,936.5685
2026-03-23 03:00:00+00:00,139.95987,590.1544,256.62344,923.6854
2026-03-23 04:00:00+00:00,81.88028,531.39026,197.85953,864.921
2026-03-23 05:00:00+00:00,66.50015,631.5719,298.0414,965.10266
2026-03-23 06:00:00+00:00,87.85977,469.83,136.29898,803.3607
2026-03-23 07:00:00+00:00,90.17032,711.94714,378.4164,1045.4781
2026-03-23 08:00:00+00:00,54.009674,411.33218,77.80118,744.8629
2026-03-23 09:00:00+00:00,23.360258,168.80875,-164.72226,502.3395
2026-03-23 10:00:00+00:00,42.120026,277.6752,-55.855804,611.20593
2026-03-23 11:00:00+00:00,92.3898,615.2374,281.70645,948.7682
2026-03-23 12:00:00+00:00,233.84024,604.10754,270.57706,937.63855
2026-03-23 13:00:00+00:00,359.17032,907.60754,574.07654,1241.1383
2026-03-23 14:00:00+00:00,305.04996,653.65906,320.12808,987.1898
2026-03-23 15:00:00+00:00,221.80997,1080.5052,746.9745,1414.0363
2026-03-23 16:00:00+00:00,209.82999,353.4384,19.907621,686.9691
2026-03-23 17:00:00+00:00,232.32022,396.74088,63.20987,730.2716
2026-03-23 18:00:00+00:00,230.0397,494.54434,161.01358,828.0751
2026-03-23 19:00:00+00:00,210.92007,756.46814,422.93716,1089.9989
2026-03-23 20:00:00+00:00,249.58975,1161.3636,827.83264,1494.8944
2026-03-23 21:00:00+00:00,314.59976,912.1764,578.6456,1245.7074
2026-03-23 22:00:00+00:00,429.61002,1606.4982,1272.9672,1940.0289
2026-03-23 23:00:00+00:00,816.2499,1879.9205,1546.3898,2213.4514
2026-03-24 00:00:00+00:00,1384.1,1997.1045,1663.5736,2330.6355
2026-03-24 01:00:00+00:00,1876.83,2343.159,2009.628,2676.6897
2026-03-24 02:00:00+00:00,2377.73,2235.144,1901.613,2568.6748
2026-03-24 03:00:00+00:00,2933.08,2367.8782,2034.3473,2701.4092
2026-03-24 04:00:00+00:00,3821.01,3093.507,2759.9763,3427.038
2026-03-24 05:00:00+00:00,4869.31,3679.6843,3346.1533,4013.215
2026-03-24 06:00:00+00:00,5484.96,4730.066,4396.535,5063.5967
