date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-02-15 00:00:00+00:00,940.9501,1404.5345,1107.066,1702.0033
2026-02-15 01:00:00+00:00,826.5499,1263.0009,965.5326,1560.4691
2026-02-15 02:00:00+00:00,694.96985,973.4774,676.00916,1270.9459
2026-02-15 03:00:00+00:00,586.55994,809.22986,511.76138,1106.6984
2026-02-15 04:00:00+00:00,484.96036,456.14688,158.67862,753.6151
2026-02-15 05:00:00+00:00,322.2001,765.7733,468.30484,1063.2418
2026-02-15 06:00:00+00:00,226.62027,501.9882,204.51993,799.45667
2026-02-15 07:00:00+00:00,179.90005,301.04434,3.5760794,598.5128
2026-02-15 08:00:00+00:00,147.77017,819.2477,521.7792,1116.716
2026-02-15 09:00:00+00:00,190.32974,817.1537,519.6852,1114.6222
2026-02-15 10:00:00+00:00,310.68008,575.2799,277.81143,872.7484
2026-02-15 11:00:00+00:00,500.26016,961.2516,663.7831,1258.7198
2026-02-15 12:00:00+00:00,812.1,1119.1964,821.72815,1416.6649
2026-02-15 13:00:00+00:00,1164.13,1214.243,916.77454,1511.7115
2026-02-15 14:00:00+00:00,1638.2499,1325.786,1028.3175,1623.2545
2026-02-15 15:00:00+00:00,2322.4,2233.9465,1936.4781,2531.415
2026-02-15 16:00:00+00:00,3381.65,2254.3396,1956.871,2551.808
2026-02-15 17:00:00+00:00,5752.97,4528.376,4230.907,4825.844
2026-02-15 18:00:00+00:00,6998.87,6128.8,5831.3315,6426.268
2026-02-15 19:00:00+00:00,8132.65,6131.549,5834.0806,6429.017
2026-02-15 20:00:00+00:00,9255.07,8264.744,7967.276,8562.212
2026-02-15 21:00:00+00:00,9631.11,8458.58,8161.112,8756.048
2026-02-15 22:00:00+00:00,9491.85,8950.53,8653.062,9247.998
2026-02-15 23:00:00+00:00,9557.13,8737.686,8440.217,9035.153
2026-02-16 00:00:00+00:00,9644.76,9739.023,9441.555,10036.491
2026-02-16 01:00:00+00:00,9485.05,9520.371,9222.903,9817.84
2026-02-16 02:00:00+00:00,9086.37,8873.354,8575.886,9170.822
2026-02-16 03:00:00+00:00,9131.96,8163.0273,7865.559,8460.495
2026-02-16 04:00:00+00:00,8901.69,7453.324,7155.8555,7750.7925
2026-02-16 05:00:00+00:00,8627.67,7690.789,7393.3203,7988.2573
2026-02-16 06:00:00+00:00,8275.95,5092.3853,4794.917,5389.854
2026-02-16 07:00:00+00:00,7838.15,4915.4595,4617.991,5212.9277
2026-02-16 08:00:00+00:00,7287.36,5085.9233,4788.455,5383.392
2026-02-16 09:00:00+00:00,6697.31,4821.722,4524.254,5119.191
2026-02-16 10:00:00+00:00,5975.24,4485.739,4188.27,4783.207
2026-02-16 11:00:00+00:00,5207.89,5014.972,4717.504,5312.4404
2026-02-16 12:00:00+00:00,4599.49,3790.5083,3493.0398,4087.9766
2026-02-16 13:00:00+00:00,4154.6,3973.035,3675.5667,4270.5034
2026-02-16 14:00:00+00:00,3543.56,3651.7217,3354.2532,3949.1902
2026-02-16 15:00:00+00:00,3148.58,2902.4604,2604.9922,3199.929
2026-02-16 16:00:00+00:00,3153.28,2327.3145,2029.846,2624.783
2026-02-16 17:00:00+00:00,3250.86,1959.1573,1661.6888,2256.6257
2026-02-16 18:00:00+00:00,3105.55,2682.3613,2384.893,2979.8298
2026-02-16 19:00:00+00:00,2866.78,2377.6912,2080.223,2675.1597
2026-02-16 20:00:00+00:00,2752.12,1624.7018,1327.2333,1922.1702
2026-02-16 21:00:00+00:00,2677.29,906.40344,608.9352,1203.8717
2026-02-16 22:00:00+00:00,2542.71,1369.049,1071.5807,1666.5175
2026-02-16 23:00:00+00:00,2473.32,924.4088,626.9403,1221.8773
2026-02-17 00:00:00+00:00,2422.75,1083.797,786.3285,1381.2655
2026-02-17 01:00:00+00:00,2245.69,1201.4689,904.0006,1498.9371
2026-02-17 02:00:00+00:00,1941.69,1181.6991,884.2306,1479.1676
2026-02-17 03:00:00+00:00,1774.7601,855.12317,557.65466,1152.5917
2026-02-17 04:00:00+00:00,1600.1,744.0077,446.53946,1041.476
2026-02-17 05:00:00+00:00,1464.84,753.9955,456.527,1051.464
2026-02-17 06:00:00+00:00,1302.66,619.2894,321.82095,916.75793
2026-02-17 07:00:00+00:00,1304.37,764.2977,466.8295,1061.766
2026-02-17 08:00:00+00:00,1351.7699,776.4159,478.94742,1073.8842
2026-02-17 09:00:00+00:00,1324.36,636.7743,339.30582,934.2428
2026-02-17 10:00:00+00:00,1345.83,406.17667,108.708405,703.6449
2026-02-17 11:00:00+00:00,1340.34,104.80679,-192.66147,402.2753
2026-02-17 12:00:00+00:00,1297.85,124.17642,-173.29184,421.64468
2026-02-17 13:00:00+00:00,1096.6,180.60391,-116.86435,478.07217
2026-02-17 14:00:00+00:00,1081.5499,196.68497,-100.78354,494.15323
2026-02-17 15:00:00+00:00,1379.37,249.73502,-47.733246,547.2035
2026-02-17 16:00:00+00:00,1756.21,481.60367,184.1354,779.0719
2026-02-17 17:00:00+00:00,2038.4202,1178.0914,880.6229,1475.5599
2026-02-17 18:00:00+00:00,2442.37,1088.8041,791.3356,1386.2723
2026-02-17 19:00:00+00:00,2955.02,1710.9342,1413.4657,2008.4025
2026-02-17 20:00:00+00:00,3397.54,1091.233,793.7648,1388.7013
2026-02-17 21:00:00+00:00,3438.85,1038.9105,741.44226,1336.3788
2026-02-17 22:00:00+00:00,3582.02,1575.8021,1278.3336,1873.2708
2026-02-17 23:00:00+00:00,3592.53,1071.3534,773.8849,1368.8219
2026-02-18 00:00:00+00:00,3487.98,916.28577,618.8175,1213.754
2026-02-18 01:00:00+00:00,3268.41,594.98596,297.51773,892.4542
2026-02-18 02:00:00+00:00,2874.68,675.1288,377.6603,972.5973
2026-02-18 03:00:00+00:00,2499.58,914.77527,617.307,1212.2438
2026-02-18 04:00:00+00:00,2057.98,443.7919,146.3234,741.26013
2026-02-18 05:00:00+00:00,1704.88,412.944,115.47574,710.41223
2026-02-18 06:00:00+00:00,1536.0099,833.44666,535.9784,1130.9149
2026-02-18 07:00:00+00:00,1410.86,1365.3141,1067.8456,1662.7823
2026-02-18 08:00:00+00:00,1061.16,1166.1405,868.67224,1463.609
2026-02-18 09:00:00+00:00,818.6,998.4442,700.9757,1295.9127
2026-02-18 10:00:00+00:00,789.7799,1123.4918,826.0233,1420.9603
2026-02-18 11:00:00+00:00,803.15,1177.8773,880.4088,1475.3458
2026-02-18 12:00:00+00:00,790.97986,800.9728,503.50455,1098.441
2026-02-18 13:00:00+00:00,769.15,1083.827,786.35876,1381.2955
2026-02-18 14:00:00+00:00,729.2001,969.8292,672.36096,1267.2977
2026-02-18 15:00:00+00:00,671.11,1214.8043,917.3358,1512.2728
2026-02-18 16:00:00+00:00,631.65,1009.5294,712.0609,1306.9979
2026-02-18 17:00:00+00:00,677.92004,783.4999,486.0314,1080.9684
2026-02-18 18:00:00+00:00,611.7999,620.65125,323.183,918.11975
2026-02-18 19:00:00+00:00,716.06995,781.6085,484.14005,1079.077
2026-02-18 20:00:00+00:00,913.66003,797.8368,500.36832,1095.3055
2026-02-18 21:00:00+00:00,1118.0599,1939.0881,1641.6198,2236.5566
2026-02-18 22:00:00+00:00,1462.18,1683.5221,1386.0536,1980.9907
2026-02-18 23:00:00+00:00,1810.34,1751.3835,1453.9149,2048.852
2026-02-19 00:00:00+00:00,2213.37,1697.1469,1399.6786,1994.6154
2026-02-19 01:00:00+00:00,2875.73,1742.8302,1445.3617,2040.2988
2026-02-19 02:00:00+00:00,3447.1,1638.1654,1340.6971,1935.6338
2026-02-19 03:00:00+00:00,3960.54,2528.816,2231.3477,2826.2844
2026-02-19 04:00:00+00:00,4430.52,2691.2966,2393.8281,2988.765
2026-02-19 05:00:00+00:00,4931.94,3032.4585,2734.99,3329.927
2026-02-19 06:00:00+00:00,5198.96,2330.507,2033.0385,2627.9756
2026-02-19 07:00:00+00:00,4707.7,3102.352,2804.8838,3399.8206
2026-02-19 08:00:00+00:00,3789.93,2600.1985,2302.73,2897.6667
2026-02-19 09:00:00+00:00,2834.71,1683.9711,1386.5028,1981.4395
2026-02-19 10:00:00+00:00,2568.99,1684.2882,1386.8197,1981.7565
