date,wind_onshore_ampr_actual,wind_onshore_ampr_fitted,wind_onshore_ampr_lower,wind_onshore_ampr_upper
2026-08-21 00:00:00+00:00,3023.45,3419.7,2592.456,4246.944
2026-08-21 01:00:00+00:00,2979.21,3756.1155,2928.8716,4583.3594
2026-08-21 02:00:00+00:00,2812.49,3441.3777,2614.1338,4268.6216
2026-08-21 03:00:00+00:00,2414.96,2697.699,1870.4552,3524.9429
2026-08-21 04:00:00+00:00,2121.53,1941.3046,1114.0607,2768.5483
2026-08-21 05:00:00+00:00,1589.45,1921.5387,1094.2948,2748.7825
2026-08-21 06:00:00+00:00,942.85,1382.7366,555.4928,2209.9805
2026-08-21 07:00:00+00:00,503.15002,1577.4406,750.19666,2404.6843
2026-08-21 08:00:00+00:00,375.9801,713.2517,-113.99206,1540.4956
2026-08-21 09:00:00+00:00,312.31995,535.23535,-292.00842,1362.4792
2026-08-21 10:00:00+00:00,290.84998,672.6373,-154.60657,1499.8812
2026-08-21 11:00:00+00:00,304.78992,303.5597,-523.6842,1130.8035
2026-08-21 12:00:00+00:00,471.81995,728.2323,-99.01159,1555.4762
2026-08-21 13:00:00+00:00,821.81995,1399.8962,572.65247,2227.1401
2026-08-21 14:00:00+00:00,779.0,2094.0154,1266.7717,2921.2593
2026-08-21 15:00:00+00:00,970.73,1396.8501,569.6062,2224.094
2026-08-21 16:00:00+00:00,1264.31,1848.6444,1021.4005,2675.8882
2026-08-21 17:00:00+00:00,1289.4899,868.71594,41.472294,1695.9598
2026-08-21 18:00:00+00:00,1382.22,571.6039,-255.64001,1398.8478
2026-08-21 19:00:00+00:00,1227.71,295.6703,-531.5736,1122.9141
2026-08-21 20:00:00+00:00,929.2899,913.68616,86.44227,1740.93
2026-08-21 21:00:00+00:00,694.14,656.2976,-170.94617,1483.5415
2026-08-21 22:00:00+00:00,633.45996,850.20483,22.961063,1677.4487
2026-08-21 23:00:00+00:00,1017.14,450.24475,-376.9989,1277.4886
2026-08-22 00:00:00+00:00,1188.65,395.79163,-431.45203,1223.0355
2026-08-22 01:00:00+00:00,1227.44,608.83606,-218.40784,1436.0798
2026-08-22 02:00:00+00:00,1275.02,956.0189,128.77527,1783.2627
2026-08-22 03:00:00+00:00,1198.14,1014.4535,187.2096,1841.6974
2026-08-22 04:00:00+00:00,1103.67,1075.7592,248.51526,1903.003
2026-08-22 05:00:00+00:00,1049.57,1292.3306,465.0868,2119.5745
2026-08-22 06:00:00+00:00,878.33997,620.3241,-206.9198,1447.5679
2026-08-22 07:00:00+00:00,791.75,846.8983,19.654667,1674.1422
2026-08-22 08:00:00+00:00,955.77,798.44507,-28.798702,1625.6888
2026-08-22 09:00:00+00:00,916.87,730.6416,-96.602165,1557.8855
2026-08-22 10:00:00+00:00,873.32996,834.4972,7.2533,1661.7411
2026-08-22 11:00:00+00:00,979.51,1406.395,579.15125,2233.639
2026-08-22 12:00:00+00:00,1144.63,1159.3442,332.10046,1986.588
2026-08-22 13:00:00+00:00,1158.42,1771.8793,944.6355,2599.123
2026-08-22 14:00:00+00:00,1347.92,1912.6277,1085.3839,2739.8716
2026-08-22 15:00:00+00:00,1883.73,1926.5587,1099.315,2753.8025
2026-08-22 16:00:00+00:00,2417.87,2304.811,1477.5671,3132.055
2026-08-22 17:00:00+00:00,2193.32,1759.8832,932.6393,2587.127
2026-08-22 18:00:00+00:00,1832.65,2546.5784,1719.3345,3373.8223
2026-08-22 19:00:00+00:00,1347.83,2558.826,1731.5823,3386.0698
2026-08-22 20:00:00+00:00,1299.19,2054.0776,1226.8339,2881.3215
2026-08-22 21:00:00+00:00,1310.58,1661.1981,833.9542,2488.442
2026-08-22 22:00:00+00:00,1363.83,1447.1613,619.91736,2274.405
2026-08-22 23:00:00+00:00,1220.81,1354.107,526.86316,2181.3508
2026-08-23 00:00:00+00:00,1116.63,1529.3291,702.0851,2356.573
2026-08-23 01:00:00+00:00,1189.32,1587.1403,759.89636,2414.384
2026-08-23 02:00:00+00:00,1142.72,1201.3525,374.10876,2028.5963
2026-08-23 03:00:00+00:00,1180.46,1071.3892,244.14539,1898.633
2026-08-23 04:00:00+00:00,1358.33,1356.8435,529.5996,2184.0874
2026-08-23 05:00:00+00:00,1522.69,1477.6311,650.3872,2304.875
