number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,36.04367340431609,0.8404239568061264,True,False,False,False,False,True,False,False,True,True,0.9674080473496591,none,6.0,large,mean,2,False,COMPLETE
1,29.928910018146325,0.28383479775008813,False,False,False,True,True,False,True,False,False,True,0.9383273712429459,none,,small,idw,6,False,COMPLETE
2,34.484942929770426,0.6001508776542577,False,False,True,False,False,False,True,False,True,True,0.45775619222390046,none,12.0,large,max,6,False,COMPLETE
3,29.558442549933215,0.6229007609848588,True,True,False,True,True,True,False,True,True,False,0.45655459280908917,small,,small,capacity,6,False,COMPLETE
4,28.879123846990936,0.9059486436775881,True,True,False,True,False,True,True,True,True,True,0.48509371986034866,large,,none,idw,2,True,COMPLETE
5,29.15910682136285,0.4604878682877714,True,True,True,False,True,False,True,True,True,True,0.1619019300430273,large,,none,max,6,False,COMPLETE
6,34.40604213507283,0.15271404589550916,True,True,False,True,True,False,False,True,True,False,0.3064045217708513,large,12.0,small,distance_capacity,6,True,COMPLETE
7,36.129374666268575,0.5039041067316216,True,False,False,True,True,False,True,False,True,True,0.6873449203990206,small,1.0,large,distance_capacity,0,True,COMPLETE
8,30.045606174354873,0.4513740003298521,False,True,False,True,False,True,True,False,False,False,0.7466207079029633,large,,none,idw,6,False,COMPLETE
9,29.35566435373505,0.5097608913449652,True,True,False,False,False,True,False,True,False,True,0.8522184755936352,none,,large,distance_n_turbines,6,False,COMPLETE
10,36.59158220615685,0.9805624417866882,False,True,True,True,False,True,True,True,False,False,0.12160153557758818,large,6.0,none,None,2,True,COMPLETE
11,28.920798705754933,0.8029925980284865,True,True,True,False,True,False,True,True,True,True,0.06926677192193814,large,,none,max,2,True,COMPLETE
12,36.26266586038985,0.8188348367228251,True,True,True,False,True,False,True,True,True,True,0.017176218583086086,large,1.0,none,idw,2,True,COMPLETE
13,28.832440402202774,0.9970708550535248,True,True,True,False,False,True,True,True,True,True,0.2951555892107322,large,,none,max,2,True,COMPLETE
14,28.879123846990936,0.9798803699422897,True,True,True,True,False,True,True,True,True,True,0.3184299110317494,large,,none,distance_n_turbines,2,True,COMPLETE
15,28.87261839762716,0.7076473331109991,True,True,True,False,False,True,True,True,True,True,0.5901758369787613,large,,none,None,0,True,COMPLETE
16,35.54856390774879,0.7011563141019468,True,True,True,False,False,True,True,True,True,True,0.6408464603983053,small,6.0,none,None,0,True,COMPLETE
17,35.68578949872924,0.7407183527925569,True,True,True,False,False,True,True,True,True,True,0.3036085540551211,large,12.0,none,None,0,True,COMPLETE
18,36.836431859548085,0.05132524479731532,False,False,True,False,False,True,False,True,False,False,0.5804079938191151,large,1.0,none,mean,0,True,COMPLETE
19,28.781203550029744,0.32660827143242666,True,True,True,False,False,True,True,True,True,True,0.20993696861133554,small,,small,capacity,0,True,COMPLETE
20,28.781203550029744,0.3220837725694834,True,True,True,False,False,True,True,True,True,True,0.20051490776389375,small,,small,capacity,0,True,COMPLETE
21,28.781203550029744,0.3226365505190547,True,True,True,False,False,True,True,True,True,True,0.2256666855790392,small,,small,capacity,0,True,COMPLETE
22,28.781203550029744,0.31586430931248977,True,True,True,False,False,True,True,True,True,True,0.19785423277572856,small,,small,capacity,0,True,COMPLETE
23,28.781203550029744,0.31715796110473493,True,True,True,False,False,True,True,True,True,True,0.22927247136429213,small,,small,capacity,0,True,COMPLETE
24,28.781203550029744,0.241392788380479,True,True,True,False,False,True,True,True,True,True,0.39151027080553225,small,,small,capacity,0,True,COMPLETE
25,28.781203550029744,0.3934058955742108,True,True,True,False,False,True,True,True,True,True,0.0948679004292638,small,,small,capacity,0,True,COMPLETE
26,37.37054618182017,0.17366757514888365,False,False,True,False,False,True,False,False,False,False,0.2604400900017606,small,12.0,small,capacity,0,True,COMPLETE
27,37.664025833795115,0.38951516587673807,True,True,True,False,False,True,True,True,True,True,0.3902975054604756,small,1.0,small,capacity,0,True,COMPLETE
28,35.536196698572084,0.017501484084669228,True,True,True,False,False,True,True,True,True,True,0.016486364873897708,small,6.0,small,capacity,0,True,COMPLETE
29,35.622095111267484,0.1952671539071241,True,False,True,False,False,True,False,False,True,True,0.1900104406589866,small,6.0,small,mean,0,True,COMPLETE
30,28.781203550029744,0.12991789091639977,True,True,True,False,False,True,True,True,True,True,0.3753372498281656,small,,small,capacity,0,True,COMPLETE
31,28.781203550029744,0.3385646947769068,True,True,True,False,False,True,True,True,True,True,0.1889238673401056,small,,small,capacity,0,True,COMPLETE
32,28.781203550029744,0.2647686412996371,True,True,True,False,False,True,True,True,True,True,0.14741485799921478,small,,small,capacity,0,True,COMPLETE
33,28.632171852876336,0.3614939193741941,True,True,True,False,False,True,True,True,True,True,0.2061162123575712,none,,small,capacity,0,True,COMPLETE
34,28.33114847689195,0.40090980221979666,False,False,True,False,False,True,True,False,True,True,0.25103314645078,none,,small,capacity,0,False,COMPLETE
35,28.353831533334017,0.5834189560901434,False,False,True,False,False,True,True,False,True,True,0.3551510777012634,none,,large,capacity,0,False,COMPLETE
36,28.94924479367391,0.5877074684535478,False,False,True,False,False,True,True,False,False,True,0.36467886366836316,none,,large,capacity,0,False,COMPLETE
37,37.200068374144486,0.592489418193073,False,False,False,False,True,False,False,False,True,False,0.48041988757061166,none,12.0,large,distance_capacity,0,False,COMPLETE
38,28.353831533334017,0.403867397812546,False,False,True,False,False,True,True,False,True,True,0.4321232032815563,none,,large,distance_n_turbines,0,False,COMPLETE
39,29.25671418527664,0.49882593516627993,False,False,False,True,True,False,True,False,True,True,0.5340724307398912,none,,large,distance_n_turbines,6,False,COMPLETE
40,28.417224207501192,0.42013813710252307,False,False,True,False,False,True,True,False,True,False,0.4325944068173323,none,,large,distance_n_turbines,0,False,COMPLETE
41,28.417224207501192,0.4123113010169041,False,False,True,False,False,True,True,False,True,False,0.4416777078008231,none,,large,distance_n_turbines,0,False,COMPLETE
42,28.417224207501192,0.43395739730479566,False,False,True,False,False,True,True,False,True,False,0.41838505467240567,none,,large,distance_n_turbines,0,False,COMPLETE
43,28.417224207501192,0.5386545574606414,False,False,True,False,False,True,True,False,True,False,0.5250028574661744,none,,large,distance_n_turbines,0,False,COMPLETE
44,28.85660499317557,0.4343249508959406,False,False,False,True,False,True,True,False,False,False,0.4407945538336164,none,,large,distance_n_turbines,6,False,COMPLETE
45,39.117834022693295,0.5409344335310408,False,False,True,False,False,False,True,False,True,False,0.3322503185532885,none,1.0,large,distance_n_turbines,0,False,COMPLETE
46,30.747797016812473,0.4711105724870114,False,False,True,False,True,True,False,False,True,False,0.4510969606422602,none,,large,distance_n_turbines,0,False,COMPLETE
47,34.09450089402713,0.6477875911525629,False,False,True,True,False,True,True,False,True,False,0.49679080480166804,none,12.0,large,distance_n_turbines,6,False,COMPLETE
48,28.368435137988296,0.4016154664605094,False,False,False,False,False,True,True,False,True,False,0.2730717899068127,none,,large,idw,2,False,COMPLETE
49,30.232621694233583,0.6391347986186482,False,False,False,False,True,False,True,False,False,False,0.25477005289321103,none,,large,idw,2,False,COMPLETE
50,34.72871799314474,0.5414325712676201,False,False,False,False,False,True,True,False,True,False,0.3438016372433884,none,6.0,large,idw,2,False,COMPLETE
51,28.368435137988296,0.41839852067237077,False,False,False,False,False,True,True,False,True,False,0.5607612932335325,none,,large,idw,2,False,COMPLETE
52,28.368435137988296,0.46950532679330254,False,False,False,False,False,True,True,False,True,False,0.5799147306070842,none,,large,idw,2,False,COMPLETE
53,28.368435137988296,0.48293146001821574,False,False,False,False,False,True,True,False,True,False,0.6635812342671028,none,,large,idw,2,False,COMPLETE
54,28.368435137988296,0.45925352925274043,False,False,False,False,False,True,True,False,True,False,0.5700749841044734,none,,large,idw,2,False,COMPLETE
55,28.368435137988296,0.38599375081945364,False,False,False,False,False,True,True,False,True,False,0.7456770238676753,none,,large,idw,2,False,COMPLETE
56,36.520819987727585,0.5566654547215488,False,False,False,True,False,True,True,False,True,False,0.8517726623274053,none,1.0,large,idw,2,False,COMPLETE
57,29.51466455242647,0.2676017051148485,False,False,False,False,False,True,False,False,True,False,0.6379199928493385,none,,large,max,2,False,COMPLETE
58,28.368435137988296,0.51431608577958,False,False,False,False,False,True,True,False,True,False,0.27218273878911714,none,,large,idw,2,False,COMPLETE
59,28.335572518345288,0.36154772644806965,False,False,False,False,False,True,True,False,True,True,0.5154188917134331,none,,large,distance_capacity,2,False,COMPLETE
60,35.62987494695249,0.3682779228175771,False,False,False,False,True,False,True,False,False,True,0.9974011743075065,none,12.0,large,distance_capacity,2,False,COMPLETE
61,28.335572518345288,0.22903564571978136,False,False,False,False,False,True,True,False,True,True,0.5461352246009923,none,,large,distance_capacity,2,False,COMPLETE
62,28.335572518345288,0.10526621345010002,False,False,False,False,False,True,True,False,True,True,0.54958175287529,none,,large,distance_capacity,2,False,COMPLETE
63,28.335572518345288,0.11206675014415285,False,False,False,False,False,True,True,False,True,True,0.4887209733250376,none,,large,distance_capacity,2,False,COMPLETE
64,28.335572518345288,0.10840189627295582,False,False,False,False,False,True,True,False,True,True,0.6157207809956395,none,,large,distance_capacity,2,False,COMPLETE
65,34.606356841286804,0.09508520123405698,False,False,False,False,False,True,True,False,True,True,0.613823953799156,none,6.0,large,distance_capacity,2,False,COMPLETE
66,28.335572518345288,0.21387938359802472,False,False,False,False,False,True,True,False,True,True,0.5351187716301674,none,,large,distance_capacity,2,False,COMPLETE
67,28.335572518345288,0.21044919510350935,False,False,False,False,False,True,True,False,True,True,0.7135106904488765,none,,large,distance_capacity,2,False,COMPLETE
68,28.284339428077487,0.11266641393797931,False,False,False,True,False,True,True,False,True,True,0.5342116986380077,none,,large,distance_capacity,2,False,COMPLETE
69,38.425950004724186,0.11982410127389947,False,False,False,True,False,True,False,False,True,True,0.6200029177371714,none,1.0,none,distance_capacity,2,False,COMPLETE
