number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,25.186296463012695,0.5708411890169282,False,True,True,True,True,False,False,False,False,True,large,0.149510534243043,4,3,350,large,0.03470017557859535,0.00021137484885896764,distance_n_turbines,0.6957622210556975,0,False,False,COMPLETE
1,21.561586380004883,0.5595363707716968,False,False,True,True,True,True,False,True,True,False,large,0.012704435765771582,5,9,706,none,3.7852452258358363e-05,1.1290871187886959e-05,None,0.742956859810517,6,False,True,COMPLETE
2,23.731504440307617,0.9139342740133783,True,False,True,True,False,False,False,False,True,True,small,0.04103439573772427,6,7,739,small,0.018893917316814546,1.039766279405913e-07,capacity,0.7469290368254307,0,True,False,COMPLETE
3,22.432649612426758,0.7063473612681896,True,False,True,True,True,True,True,True,False,False,large,0.062353817862320186,9,8,718,small,1.1356927880661899e-05,0.11528324963829566,distance_n_turbines,0.5750751522913405,0,True,False,COMPLETE
4,20.918737411499023,0.9436333167804467,False,True,True,True,True,True,True,False,False,False,large,0.0246585584538644,10,10,514,large,3.633715437369649e-06,1.8471104539906005e-05,mean,0.8066504457582526,6,True,False,COMPLETE
5,22.013845443725586,0.9336604622333815,False,True,True,True,False,True,True,True,False,True,large,0.029415740423516835,9,10,786,none,1.3069664797051981e-06,7.672648745490614e-08,None,0.7257159693501231,0,False,False,COMPLETE
6,22.2410888671875,0.5396023228038505,True,True,True,True,False,True,True,True,False,True,none,0.12133802840853287,9,3,491,small,0.00037093529574922125,1.8733486021507541e-06,distance_n_turbines,0.9009593272499268,6,True,True,COMPLETE
7,21.178682327270508,0.5517924247604653,False,True,True,False,False,True,False,True,True,True,none,0.024059693708202004,10,4,816,small,0.0014660366748052319,0.0012351174467526542,max,0.7554818691972309,6,False,True,COMPLETE
8,23.05906105041504,0.8903333285578676,True,False,False,True,False,True,False,False,False,True,none,0.016543963089864562,9,1,679,none,0.14604504542381283,1.1145669203657345e-05,capacity,0.7760152265483627,0,True,True,COMPLETE
9,22.598785400390625,0.6237264997871388,True,True,True,False,True,False,False,False,True,True,none,0.035376174711463405,9,9,903,none,1.3602248509132499e-08,0.37897429915431424,mean,0.7869365328192559,0,True,False,COMPLETE
10,22.56635284423828,0.804005786735677,False,True,False,False,True,False,True,False,False,False,small,0.2706858097253789,7,6,531,large,1.1843654439237478e-07,0.004719202793426597,mean,0.9875740681694221,2,True,False,COMPLETE
11,21.13160514831543,0.9954091592382683,False,True,False,False,False,True,True,True,True,False,none,0.021294159348279506,10,4,987,large,0.0006010336045580491,0.0014733781017351524,max,0.8599929246565702,6,False,True,COMPLETE
12,21.035898208618164,0.9915687794237636,False,True,False,False,False,True,True,True,True,False,large,0.010590026660161105,7,5,985,large,3.0637002146419393e-06,0.00773058112425107,distance_capacity,0.8914572818059331,6,False,True,COMPLETE
13,21.092906951904297,0.9955430695765157,False,True,False,False,True,True,True,False,True,False,large,0.0111960921985575,7,6,498,large,1.6958732086246287e-06,0.030395861768039305,distance_capacity,0.8900470191692803,6,False,True,COMPLETE
14,22.418807983398438,0.8244639896701811,False,True,False,False,True,True,True,True,False,False,large,0.010630407781217483,3,5,592,large,1.2767393148920511e-06,0.00010480623256602307,distance_capacity,0.9827656706223027,2,False,False,COMPLETE
