date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2026-04-01 00:00:00+00:00,2261.86,2613.248,2025.5316,3200.9648
2026-04-01 01:00:00+00:00,1749.2902,2504.8486,1917.132,3092.5652
2026-04-01 02:00:00+00:00,1109.1403,2079.3938,1491.6774,2667.1104
2026-04-01 03:00:00+00:00,680.23004,2717.2195,2129.503,3304.9363
2026-04-01 04:00:00+00:00,471.56015,819.6451,231.9288,1407.3617
2026-04-01 05:00:00+00:00,403.06992,1191.4,603.68365,1779.1166
2026-04-01 06:00:00+00:00,407.71005,316.2325,-271.4838,903.9488
2026-04-01 07:00:00+00:00,300.5499,243.1207,-344.5961,830.83746
2026-04-01 08:00:00+00:00,264.42978,584.0142,-3.7020588,1171.7306
2026-04-01 09:00:00+00:00,262.83994,1005.13824,417.42148,1592.8546
2026-04-01 10:00:00+00:00,274.81992,490.2086,-97.50821,1077.9254
2026-04-01 11:00:00+00:00,379.2501,766.45123,178.73398,1354.1676
2026-04-01 12:00:00+00:00,481.04013,904.54645,316.82968,1492.2633
2026-04-01 13:00:00+00:00,567.6099,922.82965,335.11288,1510.5465
2026-04-01 14:00:00+00:00,622.12994,1729.9489,1142.232,2317.6653
2026-04-01 15:00:00+00:00,590.1202,1534.9125,947.19586,2122.629
2026-04-01 16:00:00+00:00,446.65,853.9732,266.25644,1441.6898
2026-04-01 17:00:00+00:00,441.77988,1066.421,478.7042,1654.1378
2026-04-01 18:00:00+00:00,681.8399,1979.3322,1391.6156,2567.0486
2026-04-01 19:00:00+00:00,1022.8702,2013.399,1425.6825,2601.1157
2026-04-01 20:00:00+00:00,1313.2001,2258.3425,1670.6261,2846.0593
2026-04-01 21:00:00+00:00,1626.9401,1964.7003,1376.9835,2552.4167
2026-04-01 22:00:00+00:00,1948.68,2923.762,2336.0454,3511.4788
2026-04-01 23:00:00+00:00,2286.67,2579.2463,1991.5297,3166.963
2026-04-02 00:00:00+00:00,2674.08,2995.445,2407.7283,3583.1616
2026-04-02 01:00:00+00:00,2928.34,3072.6282,2484.9116,3660.345
2026-04-02 02:00:00+00:00,3126.92,3497.349,2909.6326,4085.066
2026-04-02 03:00:00+00:00,3258.77,3340.5227,2752.806,3928.2393
2026-04-02 04:00:00+00:00,3428.56,3481.5762,2893.8596,4069.293
2026-04-02 05:00:00+00:00,3404.71,3784.5002,3196.7837,4372.217
2026-04-02 06:00:00+00:00,3036.78,3701.25,3113.5334,4288.967
2026-04-02 07:00:00+00:00,2194.29,3735.098,3147.3813,4322.8145
2026-04-02 08:00:00+00:00,1544.33,2803.027,2215.3105,3390.744
2026-04-02 09:00:00+00:00,1445.15,2607.9038,2020.1874,3195.6206
2026-04-02 10:00:00+00:00,1711.35,2321.5833,1733.8668,2909.3
2026-04-02 11:00:00+00:00,1965.67,2179.831,1592.1146,2767.5476
2026-04-02 12:00:00+00:00,2535.91,2116.9883,1529.2719,2704.7048
2026-04-02 13:00:00+00:00,3650.28,3569.3252,2981.6086,4157.042
2026-04-02 14:00:00+00:00,4987.51,6037.2056,5449.4893,6624.9224
2026-04-02 15:00:00+00:00,6156.17,7642.6113,7054.895,8230.328
2026-04-02 16:00:00+00:00,6542.27,7902.1763,7314.4595,8489.893
2026-04-02 17:00:00+00:00,5817.94,6754.151,6166.434,7341.867
2026-04-02 18:00:00+00:00,5199.91,4231.1885,3643.4717,4818.905
2026-04-02 19:00:00+00:00,4573.41,3681.5112,3093.7944,4269.228
2026-04-02 20:00:00+00:00,4492.11,3247.6216,2659.905,3835.3381
2026-04-02 21:00:00+00:00,4248.65,3301.8193,2714.1025,3889.5361
2026-04-02 22:00:00+00:00,3932.33,3594.8347,3007.1182,4182.5513
2026-04-02 23:00:00+00:00,3889.35,2731.928,2144.2112,3319.6445
2026-04-03 00:00:00+00:00,3791.61,2518.306,1930.5895,3106.0225
2026-04-03 01:00:00+00:00,3550.55,2317.5903,1729.8737,2905.307
2026-04-03 02:00:00+00:00,3426.53,2679.9543,2092.2378,3267.671
2026-04-03 03:00:00+00:00,3297.64,2500.9521,1913.2357,3088.6687
2026-04-03 04:00:00+00:00,2985.18,2929.8853,2342.1687,3517.602
2026-04-03 05:00:00+00:00,2660.51,3800.7917,3213.075,4388.5083
2026-04-03 06:00:00+00:00,2465.53,2544.2522,1956.5355,3131.9688
2026-04-03 07:00:00+00:00,2380.59,2483.4634,1895.7467,3071.18
2026-04-03 08:00:00+00:00,3524.46,2705.043,2117.3264,3292.7595
2026-04-03 09:00:00+00:00,4325.58,3564.4292,2976.7122,4152.1455
2026-04-03 10:00:00+00:00,4256.59,4545.182,3957.4653,5132.8984
2026-04-03 11:00:00+00:00,3806.71,6121.274,5533.557,6708.9907
2026-04-03 12:00:00+00:00,3974.59,8190.4854,7602.7686,8778.202
2026-04-03 13:00:00+00:00,5318.38,7308.6855,6720.9688,7896.4023
2026-04-03 14:00:00+00:00,7794.95,7431.0366,6843.3203,8018.7534
2026-04-03 15:00:00+00:00,10352.25,8038.792,7451.075,8626.509
2026-04-03 16:00:00+00:00,11391.89,10034.852,9447.135,10622.567
2026-04-03 17:00:00+00:00,11195.831,11057.64,10469.924,11645.356
2026-04-03 18:00:00+00:00,13106.26,11701.909,11114.192,12289.626
