date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2026-06-22 00:00:00+00:00,,10.421292,-56.602757,77.44534
2026-06-22 01:00:00+00:00,,1.982114,-65.04193,69.006134
2026-06-22 02:00:00+00:00,,5.029935,-61.994114,72.053955
2026-06-22 03:00:00+00:00,,7.739133,-59.284916,74.76315
2026-06-22 04:00:00+00:00,,21.185331,-45.838688,88.209366
2026-06-22 05:00:00+00:00,,29.522764,-37.501255,96.5468
2026-06-22 06:00:00+00:00,,23.645018,-43.379032,90.66904
2026-06-22 07:00:00+00:00,,22.827696,-44.196323,89.85173
2026-06-22 08:00:00+00:00,,31.495604,-35.528416,98.51964
2026-06-22 09:00:00+00:00,,34.11981,-32.90424,101.14386
2026-06-22 10:00:00+00:00,,40.276943,-26.747103,107.30098
2026-06-22 11:00:00+00:00,,72.40039,5.37634,139.42444
2026-06-22 12:00:00+00:00,,78.95163,11.927579,145.9757
2026-06-22 13:00:00+00:00,,95.92474,28.900724,162.94878
2026-06-22 14:00:00+00:00,,133.57442,66.550385,200.59846
2026-06-22 15:00:00+00:00,,202.03548,135.01144,269.0595
2026-06-22 16:00:00+00:00,,300.75705,233.733,367.7811
2026-06-22 17:00:00+00:00,,269.8509,202.82686,336.87494
2026-06-22 18:00:00+00:00,,314.46448,247.44043,381.48853
2026-06-22 19:00:00+00:00,,343.14676,276.1227,410.1708
2026-06-22 20:00:00+00:00,,322.53824,255.5142,389.5623
2026-06-22 21:00:00+00:00,,284.09985,217.0758,351.12387
2026-06-22 22:00:00+00:00,,311.45197,244.42792,378.47598
2026-06-22 23:00:00+00:00,,296.13794,229.1139,363.162
2026-06-23 00:00:00+00:00,,215.34592,148.32187,282.36996
2026-06-23 01:00:00+00:00,,197.5826,130.55858,264.60663
2026-06-23 02:00:00+00:00,,193.67856,126.65451,260.70258
2026-06-23 03:00:00+00:00,,237.36095,170.33691,304.38498
2026-06-23 04:00:00+00:00,,204.36053,137.33649,271.38455
2026-06-23 05:00:00+00:00,,240.57745,173.55342,307.6015
2026-06-23 06:00:00+00:00,,210.85603,143.832,277.88007
2026-06-23 07:00:00+00:00,,192.56511,125.54106,259.58914
2026-06-23 08:00:00+00:00,,200.55852,133.53448,267.58255
2026-06-23 09:00:00+00:00,,207.83717,140.81313,274.8612
2026-06-23 10:00:00+00:00,,211.51408,144.49004,278.53812
2026-06-23 11:00:00+00:00,,189.7938,122.76976,256.81784
2026-06-23 12:00:00+00:00,,233.43678,166.41275,300.46082
2026-06-23 13:00:00+00:00,,279.79532,212.77127,346.81937
2026-06-23 14:00:00+00:00,,291.81088,224.78685,358.83493
2026-06-23 15:00:00+00:00,,339.96542,272.94138,406.98944
2026-06-23 16:00:00+00:00,,358.13956,291.1155,425.1636
2026-06-23 17:00:00+00:00,,401.81693,334.7929,468.84097
