date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2026-02-15 00:00:00+00:00,109.09,136.85274,69.828705,203.87679
2026-02-15 01:00:00+00:00,101.40001,116.788345,49.76431,183.8124
2026-02-15 02:00:00+00:00,61.279995,91.077484,24.053465,158.10152
2026-02-15 03:00:00+00:00,29.999998,58.820126,-8.203952,125.84416
2026-02-15 04:00:00+00:00,13.830014,49.776455,-17.247591,116.80051
2026-02-15 05:00:00+00:00,6.899991,53.525967,-13.49808,120.54999
2026-02-15 06:00:00+00:00,6.149991,48.7337,-18.290346,115.75774
2026-02-15 07:00:00+00:00,9.350003,45.758358,-21.265688,112.78241
2026-02-15 08:00:00+00:00,9.110013,54.263424,-12.7606535,121.28746
2026-02-15 09:00:00+00:00,6.480008,45.63769,-21.386354,112.66176
2026-02-15 10:00:00+00:00,8.019986,35.983913,-31.040133,103.007965
2026-02-15 11:00:00+00:00,14.249997,48.39407,-18.629976,115.41814
2026-02-15 12:00:00+00:00,16.119993,68.78519,1.7611362,135.80922
2026-02-15 13:00:00+00:00,26.649992,111.60585,44.581814,178.6299
2026-02-15 14:00:00+00:00,51.19,194.72136,127.69733,261.7454
2026-02-15 15:00:00+00:00,101.18001,274.70917,207.68512,341.73322
2026-02-15 16:00:00+00:00,317.21,427.3327,360.30865,494.35672
2026-02-15 17:00:00+00:00,587.49,558.06226,491.0382,625.0863
2026-02-15 18:00:00+00:00,777.89,716.44604,649.422,783.47003
2026-02-15 19:00:00+00:00,853.18,831.3009,764.27686,898.3249
2026-02-15 20:00:00+00:00,882.2,864.89734,797.8733,931.9213
2026-02-15 21:00:00+00:00,1089.86,987.2491,920.22504,1054.2732
2026-02-15 22:00:00+00:00,1145.14,1084.8292,1017.8052,1151.8533
2026-02-15 23:00:00+00:00,989.13,1047.496,980.47186,1114.5199
2026-02-16 00:00:00+00:00,1002.09,1137.177,1070.153,1204.201
2026-02-16 01:00:00+00:00,1245.88,1206.688,1139.664,1273.7119
2026-02-16 02:00:00+00:00,1384.45,1277.1866,1210.1626,1344.2107
2026-02-16 03:00:00+00:00,1299.05,1271.5851,1204.561,1338.6091
2026-02-16 04:00:00+00:00,1320.71,1300.6887,1233.6647,1367.7128
2026-02-16 05:00:00+00:00,1326.598,1321.2709,1254.2468,1388.2949
2026-02-16 06:00:00+00:00,1332.486,1339.0715,1272.0475,1406.0956
2026-02-16 07:00:00+00:00,1338.374,1303.3136,1236.2897,1370.3376
2026-02-16 08:00:00+00:00,1344.262,1294.7903,1227.7662,1361.8143
2026-02-16 09:00:00+00:00,1350.15,1244.6312,1177.6072,1311.6553
2026-02-16 10:00:00+00:00,1133.41,1202.1809,1135.157,1269.205
2026-02-16 11:00:00+00:00,1086.3401,1159.3618,1092.3378,1226.3859
2026-02-16 12:00:00+00:00,942.65,1001.26984,934.24585,1068.294
2026-02-16 13:00:00+00:00,911.24,944.87177,877.8478,1011.8958
2026-02-16 14:00:00+00:00,970.6,976.188,909.16394,1043.212
2026-02-16 15:00:00+00:00,992.5,1014.38666,947.3626,1081.4108
2026-02-16 16:00:00+00:00,1184.8801,1169.9279,1102.9038,1236.9519
2026-02-16 17:00:00+00:00,1241.96,1198.8641,1131.8401,1265.8882
2026-02-16 18:00:00+00:00,1299.04,1173.4213,1106.3973,1240.4453
2026-02-16 19:00:00+00:00,1356.12,1111.128,1044.104,1178.152
2026-02-16 20:00:00+00:00,1299.76,1082.6678,1015.6438,1149.6919
2026-02-16 21:00:00+00:00,1243.4,1028.0375,961.0134,1095.0615
2026-02-16 22:00:00+00:00,1109.11,1015.0397,948.0156,1082.0637
2026-02-16 23:00:00+00:00,1130.71,1062.2634,995.2393,1129.2875
2026-02-17 00:00:00+00:00,1344.21,1202.0653,1135.0413,1269.0894
2026-02-17 01:00:00+00:00,1357.8668,1237.4777,1170.4536,1304.5017
2026-02-17 02:00:00+00:00,1371.5233,1268.4614,1201.4374,1335.4854
2026-02-17 03:00:00+00:00,1385.18,1281.6798,1214.6558,1348.7039
2026-02-17 04:00:00+00:00,1249.49,1205.0548,1138.0308,1272.0787
2026-02-17 05:00:00+00:00,1112.1,1096.6934,1029.6693,1163.7174
